Date,Team,Opponent,Location,W/L,K,AST,SA,BLK,OUT,ATTEMPTS,AVG/S,EFF,DIG,SP
01/11/2025,Indy Ignite,Orlando Valkyries,Home,W,59,56,1,10,43,60,18.25,22.7,73,4
01/16/2025,Indy Ignite,Grand Rapids Rise,Home,W,55,51,7,4,36,32,20.00,40.6,60,3
01/18/2025,Indy Ignite,Columbus Fury,Away,W,70,65,4,10,50,92,19.00,22.1,95,5
01/10/2025,Atlanta Vibe,Omaha Supernovas,Away,L,60,59,3,11,48,104,17.40,15.5,87,5
01/12/2025,Atlanta Vibe,Vegas Thrill,Away,W,40,40,6,6,30,43,17.33,26.2,52,3
01/16/2025,Atlanta Vibe,Columbus Fury,Home,W,60,57,4,12,49,86,17.20,23.5,86,5
01/19/2025,Atlanta Vibe,Grand Rapids Rise,Home,L,37,36,2,6,27,56,16.67,19.4,50,3
01/24/2024,Atlanta Vibe,Omaha Supernovas,Away,W,62,58,2,16,49,100,19.40,16.3,97,5
01/26/2024,Atlanta Vibe,Orlando Valkyries,Away,W,52,46,5,13,39,71,20.40,10.3,102,5
02/01/2024,Atlanta Vibe,San Diego Mojo,Home,W,43,40,6,9,28,33,17.00,29.8,51,3
02/09/2024,Atlanta Vibe,Grand Rapids Rise,Home,L,52,52,2,9,43,71,18.75,21.3,75,4
02/12/2024,Atlanta Vibe,Orlando Valkyries,Home,W,60,54,6,16,49,91,13.80,20.1,69,5
02/18/2024,Atlanta Vibe,Grand Rapids Rise,Away,L,66,62,3,11,48,85,18.20,24.6,91,5
02/29/2024,Atlanta Vibe,Omaha Supernovas,Home,L,42,39,2,5,32,68,24.67,18.8,74,3
03/02/2024,Atlanta Vibe,San Diego Mojo,Away,W,51,47,4,6,33,47,24.33,23.3,73,3
03/04/2024,Atlanta Vibe,Vegas Thrill,Away,W,46,41,3,10,29,44,16.33,30.9,49,3
03/09/2024,Atlanta Vibe,Vegas Thrill,Home,W,55,52,6,15,40,68,16.00,18.5,64,4
03/14/2024,Atlanta Vibe,Omaha Supernovas,Away,W,57,54,3,13,41,60,17.25,23.7,69,4
03/21/2024,Atlanta Vibe,Orlando Valkyries,Home,W,51,49,2,9,28,50,24.00,29.6,72,3
03/24/2024,Atlanta Vibe,Columbus Fury,Away,L,59,56,6,12,48,66,14.75,22.1,59,4
03/27/2024,Atlanta Vibe,Columbus Fury,Home,W,49,46,2,12,26,42,18.00,37.1,54,3
03/30/2024,Atlanta Vibe,San Diego Mojo,Home,W,43,41,5,10,30,41,16.00,32.0,48,3
04/01/2024,Atlanta Vibe,Grand Rapids Rise,Away,W,58,54,1,11,44,67,16.50,26.2,66,4
04/08/2024,Atlanta Vibe,Vegas Thrill,Away,W,48,38,1,8,38,53,16.67,30.8,50,3
04/10/2024,Atlanta Vibe,San Diego Mojo,Away,W,49,41,2,9,36,48,18.00,38.9,54,3
04/13/2024,Atlanta Vibe,Omaha Supernovas,Home,W,66,62,3,8,46,57,17.50,29.1,70,4
04/16/2024,Atlanta Vibe,Grand Rapids Rise,Home,W,61,55,4,15,43,87,21.75,25.3,87,4
04/19/2024,Atlanta Vibe,Columbus Fury,Away,L,51,46,4,11,39,80,18.50,15.2,74,4
04/21/2024,Atlanta Vibe,Orlando Valkyries,Away,W,69,64,3,8,51,67,20.00,25.3,80,4
04/28/2024,Atlanta Vibe,Vegas Thrill,Home,W,38,35,6,11,31,47,17.00,22.3,51,3
05/02/2024,Atlanta Vibe,Columbus Fury,Home,W,48,42,4,7,37,27,14.33,34.6,43,3
01/10/2025,Omaha Supernovas,Atlanta Vibe,Home,W,60,56,3,13,48,90,17.80,18.7,89,5
01/12/2025,Omaha Supernovas,Grand Rapids Rise,Away,W,55,47,2,4,38,54,22.67,25.3,68,3
01/17/2025,Omaha Supernovas,Vegas Thrill,Away,L,51,48,3,14,42,97,13.80,13.1,69,5
01/19/2025,Omaha Supernovas,San Diego Mojo,Home,L,62,54,1,5,46,75,14.50,25.0,58,4
01/24/2024,Omaha Supernovas,Atlanta Vibe,Home,L,65,53,5,12,49,92,18.80,21.5,94,5
